iter	Passed	Remaining
659	5187	2672
660	5194	2663
661	5200	2655
662	5207	2647
663	5214	2638
664	5221	2630
665	5228	2621
666	5234	2613
667	5241	2605
668	5247	2596
669	5256	2588
670	5263	2580
671	5271	2572
672	5277	2564
673	5285	2556
674	5291	2547
675	5298	2539
676	5305	2531
677	5311	2522
678	5319	2514
679	5325	2506
680	5333	2498
681	5341	2490
682	5348	2482
683	5355	2474
684	5362	2465
685	5369	2457
686	5376	2449
687	5383	2441
688	5389	2432
689	5395	2424
690	5403	2416
691	5409	2407
692	5417	2399
693	5424	2391
694	5431	2383
695	5438	2375
696	5444	2366
697	5451	2358
698	5458	2350
699	5465	2342
700	5472	2334
701	5480	2326
702	5487	2318
703	5493	2309
704	5501	2302
705	5508	2293
706	5516	2286
707	5523	2277
708	5530	2269
709	5537	2261
710	5543	2253
711	5552	2245
712	5558	2237
713	5566	2229
714	5573	2221
715	5583	2214
716	5591	2206
717	5600	2199
718	5607	2191
719	5615	2183
720	5625	2177
721	5633	2169
722	5640	2160
723	5648	2153
724	5655	2145
725	5664	2137
726	5671	2129
727	5679	2122
728	5687	2114
729	5695	2106
730	5702	2098
731	5710	2090
732	5717	2082
733	5725	2074
734	5733	2067
735	5740	2059
736	5748	2051
737	5756	2043
738	5765	2036
739	5773	2028
740	5781	2020
741	5788	2012
742	5796	2004
743	5803	1996
744	5811	1989
745	5817	1980
746	5825	1973
747	5832	1964
748	5839	1956
749	5846	1948
750	5853	1940
751	5860	1932
752	5867	1924
753	5875	1917
754	5882	1908
755	5890	1901
756	5896	1892
757	5903	1884
758	5910	1876
759	5917	1868
760	5925	1861
761	5932	1853
762	5940	1845
763	5947	1837
764	5954	1829
765	5961	1821
766	5968	1812
767	5976	1805
768	5982	1797
769	5991	1789
770	5997	1781
771	6005	1773
772	6012	1765
773	6019	1757
774	6026	1749
775	6033	1741
776	6041	1733
777	6048	1725
778	6056	1718
779	6062	1710
780	6071	1702
781	6077	1694
782	6085	1686
783	6092	1678
784	6099	1670
785	6107	1662
786	6118	1656
787	6125	1648
788	6132	1639
789	6140	1632
790	6146	1624
791	6154	1616
792	6161	1608
793	6169	1600
794	6176	1592
795	6184	1584
796	6191	1576
797	6198	1568
798	6206	1561
799	6213	1553
800	6220	1545
801	6229	1537
802	6237	1530
803	6243	1522
804	6251	1514
805	6259	1506
806	6267	1498
807	6274	1490
808	6281	1483
809	6288	1475
810	6295	1467
811	6303	1459
812	6309	1451
813	6317	1443
814	6324	1435
815	6332	1427
816	6339	1419
817	6346	1412
818	6353	1404
819	6360	1396
820	6368	1388
821	6375	1380
822	6383	1372
823	6389	1364
824	6397	1357
825	6404	1349
826	6411	1341
827	6419	1333
828	6425	1325
829	6433	1317
830	6440	1309
831	6448	1302
832	6454	1294
833	6461	1286
834	6468	1278
835	6475	1270
836	6483	1262
837	6490	1254
838	6498	1247
839	6505	1239
840	6513	1231
841	6519	1223
842	6527	1215
